id;year;state;office;candidate;candidatevotes;totalvotes;party_simplified
1;1976;ALABAMA;US PRESIDENT;CARTER, JIMMY;659170;1182850;DEMOCRAT
2;1976;ALABAMA;US PRESIDENT;FORD, GERALD;504070;1182850;REPUBLICAN
3;1976;ALABAMA;US PRESIDENT;MADDOX, LESTER;9198;1182850;OTHER
4;1976;ALABAMA;US PRESIDENT;"BUBAR, BENJAMIN """"BEN""""";6669;1182850;OTHER
5;1976;ALABAMA;US PRESIDENT;HALL, GUS;1954;1182850;OTHER
6;1976;ALABAMA;US PRESIDENT;MACBRIDE, ROGER;1481;1182850;LIBERTARIAN
7;1976;ALABAMA;US PRESIDENT;;308;1182850;OTHER
8;1976;ALASKA;US PRESIDENT;FORD, GERALD;71555;123574;REPUBLICAN
9;1976;ALASKA;US PRESIDENT;CARTER, JIMMY;44058;123574;DEMOCRAT
10;1976;ALASKA;US PRESIDENT;MACBRIDE, ROGER;6785;123574;LIBERTARIAN
11;1976;ALASKA;US PRESIDENT;;1176;123574;OTHER
12;1976;ARIZONA;US PRESIDENT;FORD, GERALD;418642;742719;REPUBLICAN
13;1976;ARIZONA;US PRESIDENT;CARTER, JIMMY;295602;742719;DEMOCRAT
14;1976;ARIZONA;US PRESIDENT;"MCCARTHY, EUGENE """"GENE""""";19229;742719;OTHER
15;1976;ARIZONA;US PRESIDENT;MACBRIDE, ROGER;7647;742719;LIBERTARIAN
16;1976;ARIZONA;US PRESIDENT;CAMEJO, PETER;928;742719;OTHER
17;1976;ARIZONA;US PRESIDENT;ANDERSON, THOMAS J.;564;742719;OTHER
18;1976;ARIZONA;US PRESIDENT;MADDOX, LESTER;85;742719;OTHER
19;1976;ARIZONA;US PRESIDENT;;22;742719;OTHER
20;1976;ARKANSAS;US PRESIDENT;CARTER, JIMMY;498604;767535;DEMOCRAT
21;1976;ARKANSAS;US PRESIDENT;FORD, GERALD;267903;767535;REPUBLICAN
22;1976;ARKANSAS;US PRESIDENT;;639;767535;OTHER
23;1976;ARKANSAS;US PRESIDENT;MADDOX, LESTER;389;767535;OTHER
24;1976;CALIFORNIA;US PRESIDENT;FORD, GERALD;3882244;7803770;REPUBLICAN
25;1976;CALIFORNIA;US PRESIDENT;CARTER, JIMMY;3742284;7803770;DEMOCRAT
26;1976;CALIFORNIA;US PRESIDENT;MACBRIDE, ROGER;56388;7803770;OTHER
27;1976;CALIFORNIA;US PRESIDENT;MADDOX, LESTER;51098;7803770;OTHER
28;1976;CALIFORNIA;US PRESIDENT;WRIGHT, MARGARET;41731;7803770;OTHER
29;1976;CALIFORNIA;US PRESIDENT;CAMEJO, PETER;17259;7803770;OTHER
30;1976;CALIFORNIA;US PRESIDENT;HALL, GUS;12766;7803770;OTHER
31;1976;COLORADO;US PRESIDENT;FORD, GERALD;584278;1081440;REPUBLICAN
32;1976;COLORADO;US PRESIDENT;CARTER, JIMMY;460801;1081440;DEMOCRAT
33;1976;COLORADO;US PRESIDENT;"MCCARTHY, EUGENE """"GENE""""";26047;1081440;OTHER
34;1976;COLORADO;US PRESIDENT;MACBRIDE, ROGER;5338;1081440;LIBERTARIAN
35;1976;COLORADO;US PRESIDENT;"BUBAR, BENJAMIN """"BEN""""";2886;1081440;OTHER
36;1976;COLORADO;US PRESIDENT;CAMEJO, PETER;1122;1081440;OTHER
37;1976;COLORADO;US PRESIDENT;LAROUCHE, LYNDON, JR.;565;1081440;OTHER
38;1976;COLORADO;US PRESIDENT;HALL, GUS;403;1081440;OTHER
39;1976;CONNECTICUT;US PRESIDENT;FORD, GERALD;719261;1386355;REPUBLICAN
40;1976;CONNECTICUT;US PRESIDENT;CARTER, JIMMY;647895;1386355;DEMOCRAT
41;1976;CONNECTICUT;US PRESIDENT;SCATTERING;10309;1386355;OTHER
42;1976;CONNECTICUT;US PRESIDENT;MADDOX, LESTER;7101;1386355;OTHER
43;1976;CONNECTICUT;US PRESIDENT;LAROUCHE, LYNDON, JR.;1789;1386355;OTHER
44;1976;DELAWARE;US PRESIDENT;CARTER, JIMMY;122461;235642;DEMOCRAT
45;1976;DELAWARE;US PRESIDENT;FORD, GERALD;109780;235642;REPUBLICAN
